IDENTIFICADOR DO ATAQUE,ANO EM QUE O ATAQUE OCORREU,PREJUIZO CAUSADO PELO ATAQUE,PAIS ONDE OCORREU O ATAQUE,TIPO DE AMEACA A SEGURANCA CIBERNETICA,SETOR DA INDUSTRIA QUE SOFREU O ATAQUE,ESTRATEGIA DE DEFESA CIBERNETICA EMPREGADA PARA RESOLVER O PROBLEMA
32,2020,18.38,FRANCE,MALWARE,TELECOMMUNICATIONS,AI-BASED DETECTION
33,2015,42.99,INDIA,SQL INJECTION,IT,ENCRYPTION
34,2022,,JAPAN,PHISHING,BANKING,
35,2023,14.51,BRAZIL,,HEALTHCARE,VPN
36,2020,17.75,BRAZIL,PHISHING,BANKING,ENCRYPTION
37,2020,19.81,CHINA,MAN-IN-THE-MIDDLE,EDUCATION,FIREWALL
38,2021,82.52,JAPAN,SQL INJECTION,RETAIL,ENCRYPTION
39,2022,32.53,USA,DDOS,RETAIL,AI-BASED DETECTION
40,2016,96.98,BRAZIL,DDOS,EDUCATION,VPN
41,2015,96.39,RUSSIA,DDOS,TELECOMMUNICATIONS,AI-BASED DETECTION
42,2021,98.09,INDIA,SQL INJECTION,IT,VPN
43,,,UK,,RETAIL,ENCRYPTION
44,2017,74.12,USA,DDOS,IT,VPN
45,2020,92.95,AUSTRALIA,DDOS,BANKING,ANTIVIRUS
46,2022,20.33,FRANCE,MALWARE,HEALTHCARE,AI-BASED DETECTION
47,2016,27.33,AUSTRALIA,SQL INJECTION,GOVERNMENT,ANTIVIRUS
48,2016,21.01,INDIA,DDOS,EDUCATION,VPN
49,2018,13.66,UK,MAN-IN-THE-MIDDLE,RETAIL,FIREWALL
50,2017,75.84,JAPAN,PHISHING,TELECOMMUNICATIONS,VPN
51,2023,59.69,USA,DDOS,RETAIL,VPN
52,2019,21.72,AUSTRALIA,MALWARE,GOVERNMENT,ANTIVIRUS
53,2015,85.58,UK,PHISHING,IT,AI-BASED DETECTION
54,2018,75.11,FRANCE,PHISHING,HEALTHCARE,ENCRYPTION
55,2019,10.8,INDIA,MAN-IN-THE-MIDDLE,EDUCATION,AI-BASED DETECTION
56,2020,86.27,INDIA,DDOS,BANKING,AI-BASED DETECTION
57,2021,67.1,UK,MALWARE,HEALTHCARE,ANTIVIRUS
58,,76.43,INDIA,DDOS,,FIREWALL
59,2015,43.4,BRAZIL,PHISHING,BANKING,VPN
60,2024,93.32,AUSTRALIA,PHISHING,EDUCATION,VPN
61,2019,35.6,INDIA,PHISHING,HEALTHCARE,VPN
62,2015,42.73,CHINA,PHISHING,GOVERNMENT,FIREWALL
63,2024,73.37,INDIA,DDOS,EDUCATION,FIREWALL
64,2018,73.18,UK,MALWARE,RETAIL,ANTIVIRUS
65,2024,72.35,CHINA,,EDUCATION,FIREWALL
66,2016,87.68,UK,DDOS,BANKING,FIREWALL
67,2022,67.16,AUSTRALIA,MALWARE,HEALTHCARE,ENCRYPTION
68,2017,83.43,RUSSIA,MAN-IN-THE-MIDDLE,EDUCATION,ANTIVIRUS
69,2016,28.66,FRANCE,,BANKING,VPN
70,2021,55.04,CHINA,PHISHING,HEALTHCARE,FIREWALL
71,2015,43.51,,DDOS,IT,AI-BASED DETECTION
72,2015,20.73,USA,RANSOMWARE,TELECOMMUNICATIONS,
73,2019,78.19,UK,PHISHING,IT,ANTIVIRUS
74,2022,,BRAZIL,PHISHING,TELECOMMUNICATIONS,ENCRYPTION
75,2018,87.56,GERMANY,RANSOMWARE,BANKING,VPN
76,2023,24.65,AUSTRALIA,PHISHING,TELECOMMUNICATIONS,AI-BASED DETECTION
77,2017,17.88,FRANCE,PHISHING,,
78,2022,21.01,USA,RANSOMWARE,EDUCATION,ANTIVIRUS
79,2022,60.25,RUSSIA,SQL INJECTION,BANKING,FIREWALL
80,2018,6.63,BRAZIL,,EDUCATION,ENCRYPTION
81,2024,5.8,FRANCE,PHISHING,GOVERNMENT,FIREWALL
82,2021,70.26,BRAZIL,DDOS,IT,ENCRYPTION
83,2024,,AUSTRALIA,MALWARE,HEALTHCARE,
84,2016,90.2,GERMANY,MAN-IN-THE-MIDDLE,HEALTHCARE,AI-BASED DETECTION
85,2019,44.17,JAPAN,MALWARE,BANKING,ENCRYPTION
86,2023,55.18,FRANCE,MALWARE,GOVERNMENT,ENCRYPTION
87,2019,41.32,JAPAN,MAN-IN-THE-MIDDLE,BANKING,FIREWALL
88,2015,32.92,UK,DDOS,TELECOMMUNICATIONS,ANTIVIRUS
89,2022,15.16,BRAZIL,DDOS,RETAIL,AI-BASED DETECTION
90,2020,62.5,INDIA,SQL INJECTION,EDUCATION,ENCRYPTION
91,2017,68.91,AUSTRALIA,SQL INJECTION,HEALTHCARE,FIREWALL
92,2023,81.26,UK,DDOS,BANKING,AI-BASED DETECTION
93,2024,58.31,UK,DDOS,HEALTHCARE,ANTIVIRUS
94,2023,88.65,FRANCE,MAN-IN-THE-MIDDLE,RETAIL,ANTIVIRUS
95,2023,1.51,AUSTRALIA,MALWARE,TELECOMMUNICATIONS,AI-BASED DETECTION
96,2020,49.23,UK,RANSOMWARE,BANKING,FIREWALL
97,2024,84.53,GERMANY,PHISHING,HEALTHCARE,FIREWALL
98,2021,90.63,FRANCE,DDOS,HEALTHCARE,AI-BASED DETECTION
99,2021,80.26,UK,DDOS,EDUCATION,ENCRYPTION
100,2023,22.87,JAPAN,MALWARE,EDUCATION,FIREWALL
101,2018,23.79,INDIA,RANSOMWARE,RETAIL,ANTIVIRUS
102,2021,35.43,JAPAN,RANSOMWARE,IT,FIREWALL
103,2022,74.77,AUSTRALIA,MALWARE,BANKING,ENCRYPTION
104,2022,66.66,JAPAN,SQL INJECTION,IT,AI-BASED DETECTION
105,2015,78.13,BRAZIL,MALWARE,RETAIL,VPN
106,2018,11.39,GERMANY,PHISHING,BANKING,ANTIVIRUS
107,2020,87.84,GERMANY,SQL INJECTION,EDUCATION,ANTIVIRUS
108,2023,10.18,BRAZIL,MAN-IN-THE-MIDDLE,IT,ENCRYPTION
109,2019,4.42,UK,MALWARE,EDUCATION,AI-BASED DETECTION
110,2020,76.98,BRAZIL,DDOS,BANKING,ENCRYPTION
111,2020,,JAPAN,DDOS,HEALTHCARE,VPN
112,2018,8.11,RUSSIA,MALWARE,TELECOMMUNICATIONS,VPN
113,2020,23.55,JAPAN,MAN-IN-THE-MIDDLE,BANKING,ANTIVIRUS
114,2016,92.79,AUSTRALIA,PHISHING,BANKING,VPN
115,2021,71.11,USA,MALWARE,RETAIL,ANTIVIRUS
116,2023,57.34,AUSTRALIA,MAN-IN-THE-MIDDLE,BANKING,FIREWALL
117,2024,81.26,UK,PHISHING,GOVERNMENT,FIREWALL
118,2024,7.32,CHINA,RANSOMWARE,TELECOMMUNICATIONS,AI-BASED DETECTION
119,2022,56.27,GERMANY,MAN-IN-THE-MIDDLE,HEALTHCARE,ENCRYPTION
120,2021,83.76,RUSSIA,MALWARE,IT,ENCRYPTION
121,2023,85.64,UK,SQL INJECTION,BANKING,FIREWALL
122,2016,61.39,RUSSIA,MALWARE,RETAIL,ENCRYPTION
123,2023,42.14,RUSSIA,RANSOMWARE,BANKING,VPN
124,2021,94.4,FRANCE,MAN-IN-THE-MIDDLE,RETAIL,VPN
125,2021,84.68,AUSTRALIA,MALWARE,TELECOMMUNICATIONS,AI-BASED DETECTION
126,2024,93.33,RUSSIA,MALWARE,BANKING,FIREWALL
127,2023,70.46,GERMANY,MALWARE,GOVERNMENT,VPN
128,2023,48.71,CHINA,MAN-IN-THE-MIDDLE,HEALTHCARE,FIREWALL
129,2018,69.03,INDIA,PHISHING,IT,ENCRYPTION
130,2018,49.19,CHINA,MALWARE,IT,ENCRYPTION
131,2016,27.2,,PHISHING,GOVERNMENT,ENCRYPTION
132,2023,64.08,FRANCE,RANSOMWARE,RETAIL,VPN
133,2022,38.46,JAPAN,MALWARE,TELECOMMUNICATIONS,VPN
134,2018,80.89,INDIA,DDOS,GOVERNMENT,ANTIVIRUS
135,2015,15.76,FRANCE,MALWARE,EDUCATION,ANTIVIRUS
136,2021,82.24,USA,SQL INJECTION,TELECOMMUNICATIONS,ENCRYPTION
137,2021,82.72,GERMANY,MALWARE,GOVERNMENT,FIREWALL
138,2016,18.96,JAPAN,MAN-IN-THE-MIDDLE,RETAIL,VPN
139,2017,53.39,UK,SQL INJECTION,IT,ANTIVIRUS
140,2017,48.9,UK,MAN-IN-THE-MIDDLE,GOVERNMENT,ANTIVIRUS
141,2017,60.77,FRANCE,SQL INJECTION,HEALTHCARE,ENCRYPTION
142,2021,91.24,GERMANY,DDOS,BANKING,ENCRYPTION
143,2015,41.36,USA,PHISHING,,ENCRYPTION
144,2022,78.18,GERMANY,DDOS,IT,VPN
145,2022,16.16,CHINA,RANSOMWARE,TELECOMMUNICATIONS,ANTIVIRUS
146,2020,15.63,USA,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,VPN
147,2020,36.29,AUSTRALIA,DDOS,RETAIL,ANTIVIRUS
148,2015,61.41,FRANCE,SQL INJECTION,RETAIL,ANTIVIRUS
149,2018,53.72,FRANCE,SQL INJECTION,RETAIL,ENCRYPTION
150,2020,17.4,BRAZIL,DDOS,RETAIL,ENCRYPTION
151,2016,75.94,USA,PHISHING,RETAIL,AI-BASED DETECTION
152,2018,55.9,USA,PHISHING,BANKING,VPN
153,2023,56.76,BRAZIL,SQL INJECTION,RETAIL,
154,2023,76.25,AUSTRALIA,DDOS,GOVERNMENT,ENCRYPTION
155,2019,75.23,INDIA,PHISHING,TELECOMMUNICATIONS,AI-BASED DETECTION
156,2024,3.93,GERMANY,PHISHING,IT,VPN
157,2015,99.41,AUSTRALIA,MALWARE,RETAIL,ANTIVIRUS
158,2016,32.89,USA,MALWARE,RETAIL,AI-BASED DETECTION
159,2017,21.66,JAPAN,SQL INJECTION,HEALTHCARE,AI-BASED DETECTION
160,2024,85.86,AUSTRALIA,,EDUCATION,AI-BASED DETECTION
161,2021,80.23,RUSSIA,SQL INJECTION,TELECOMMUNICATIONS,FIREWALL
162,2016,31.92,AUSTRALIA,MAN-IN-THE-MIDDLE,GOVERNMENT,VPN
163,2021,39.03,UK,SQL INJECTION,GOVERNMENT,ENCRYPTION
164,2024,99.03,FRANCE,RANSOMWARE,RETAIL,ENCRYPTION
165,2022,25.1,GERMANY,SQL INJECTION,RETAIL,ANTIVIRUS
166,2018,67.27,RUSSIA,DDOS,HEALTHCARE,ANTIVIRUS
167,2016,29.89,GERMANY,RANSOMWARE,EDUCATION,FIREWALL
168,2021,15.92,USA,MAN-IN-THE-MIDDLE,EDUCATION,FIREWALL
169,2016,95.93,RUSSIA,SQL INJECTION,TELECOMMUNICATIONS,AI-BASED DETECTION
170,2022,12.61,JAPAN,DDOS,EDUCATION,VPN
171,2024,39.92,AUSTRALIA,RANSOMWARE,GOVERNMENT,ANTIVIRUS
172,2015,19.36,CHINA,MALWARE,RETAIL,ENCRYPTION
173,2024,70.47,CHINA,RANSOMWARE,TELECOMMUNICATIONS,ANTIVIRUS
174,2023,53.34,FRANCE,MALWARE,HEALTHCARE,FIREWALL
175,2022,84.15,INDIA,MALWARE,GOVERNMENT,ANTIVIRUS
176,2019,27.64,BRAZIL,SQL INJECTION,BANKING,VPN
177,2017,9.01,UK,DDOS,IT,ANTIVIRUS
178,2017,9.08,USA,SQL INJECTION,BANKING,AI-BASED DETECTION
179,2020,67.9,UK,SQL INJECTION,HEALTHCARE,ANTIVIRUS
180,2022,71.12,JAPAN,PHISHING,GOVERNMENT,FIREWALL
181,2019,6.08,CHINA,RANSOMWARE,RETAIL,VPN
182,2016,90.85,AUSTRALIA,MAN-IN-THE-MIDDLE,HEALTHCARE,ANTIVIRUS
183,2017,77.32,AUSTRALIA,MALWARE,HEALTHCARE,AI-BASED DETECTION
184,2022,12.01,INDIA,DDOS,HEALTHCARE,AI-BASED DETECTION
185,2021,0.54,RUSSIA,,,ANTIVIRUS
186,2015,95.33,RUSSIA,MALWARE,IT,VPN
187,2023,62.77,BRAZIL,MALWARE,TELECOMMUNICATIONS,AI-BASED DETECTION
188,2021,83.06,BRAZIL,MALWARE,HEALTHCARE,ENCRYPTION
189,2021,71.64,INDIA,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,VPN
190,2019,47.67,AUSTRALIA,MAN-IN-THE-MIDDLE,BANKING,FIREWALL
191,2017,79.72,AUSTRALIA,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,FIREWALL
192,2018,47.11,JAPAN,MAN-IN-THE-MIDDLE,RETAIL,ANTIVIRUS
193,2017,69.69,INDIA,MAN-IN-THE-MIDDLE,GOVERNMENT,AI-BASED DETECTION
194,2022,81.31,AUSTRALIA,MAN-IN-THE-MIDDLE,HEALTHCARE,ANTIVIRUS
195,2016,83.88,BRAZIL,MALWARE,HEALTHCARE,ANTIVIRUS
196,2022,85.01,RUSSIA,PHISHING,BANKING,ENCRYPTION
197,2022,20.55,GERMANY,DDOS,TELECOMMUNICATIONS,AI-BASED DETECTION
198,2023,60.08,RUSSIA,RANSOMWARE,TELECOMMUNICATIONS,ANTIVIRUS
199,2016,46.95,RUSSIA,SQL INJECTION,HEALTHCARE,VPN
200,2015,47.2,CHINA,MAN-IN-THE-MIDDLE,RETAIL,VPN
201,2018,46.92,GERMANY,PHISHING,GOVERNMENT,VPN
202,,1.98,USA,DDOS,TELECOMMUNICATIONS,FIREWALL
203,2018,14.28,USA,MALWARE,HEALTHCARE,ANTIVIRUS
204,2021,66.23,JAPAN,SQL INJECTION,TELECOMMUNICATIONS,FIREWALL
205,2019,95.66,RUSSIA,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,ANTIVIRUS
206,2019,,UK,PHISHING,,FIREWALL
207,2018,84.9,GERMANY,PHISHING,TELECOMMUNICATIONS,ENCRYPTION
208,2016,71.19,UK,PHISHING,HEALTHCARE,ENCRYPTION
209,2016,99.29,BRAZIL,MALWARE,IT,AI-BASED DETECTION
210,2024,22.84,GERMANY,MALWARE,BANKING,FIREWALL
211,2022,82.19,JAPAN,DDOS,EDUCATION,ANTIVIRUS
212,2023,11.72,INDIA,PHISHING,TELECOMMUNICATIONS,AI-BASED DETECTION
213,2017,27.08,UK,PHISHING,TELECOMMUNICATIONS,VPN
214,2015,30.74,UK,RANSOMWARE,GOVERNMENT,ANTIVIRUS
215,2020,79.61,BRAZIL,MALWARE,BANKING,FIREWALL
216,2017,99.22,BRAZIL,MALWARE,BANKING,AI-BASED DETECTION
217,2016,29.48,INDIA,RANSOMWARE,RETAIL,FIREWALL
218,2019,7.87,CHINA,DDOS,RETAIL,ANTIVIRUS
219,,86.77,AUSTRALIA,DDOS,TELECOMMUNICATIONS,VPN
220,2023,20.15,BRAZIL,MAN-IN-THE-MIDDLE,BANKING,FIREWALL
221,2022,31.94,UK,RANSOMWARE,GOVERNMENT,ANTIVIRUS
222,2024,78.82,FRANCE,RANSOMWARE,BANKING,AI-BASED DETECTION
223,2017,65.62,JAPAN,PHISHING,IT,FIREWALL
224,2017,75.53,USA,MALWARE,IT,ANTIVIRUS
225,2021,36.06,USA,MAN-IN-THE-MIDDLE,EDUCATION,VPN
226,2021,68.07,RUSSIA,SQL INJECTION,TELECOMMUNICATIONS,VPN
227,2015,26.29,JAPAN,MALWARE,HEALTHCARE,AI-BASED DETECTION
228,2015,26.12,UK,RANSOMWARE,IT,AI-BASED DETECTION
229,2020,94.44,FRANCE,PHISHING,GOVERNMENT,VPN
230,2017,74.12,JAPAN,MAN-IN-THE-MIDDLE,RETAIL,VPN
231,2015,12.92,FRANCE,SQL INJECTION,GOVERNMENT,VPN
232,2024,73.43,AUSTRALIA,PHISHING,RETAIL,AI-BASED DETECTION
233,2023,99.19,AUSTRALIA,SQL INJECTION,HEALTHCARE,ENCRYPTION
234,2015,22.71,CHINA,DDOS,GOVERNMENT,FIREWALL
235,2022,67.62,JAPAN,SQL INJECTION,TELECOMMUNICATIONS,FIREWALL
236,2019,53.82,RUSSIA,MAN-IN-THE-MIDDLE,HEALTHCARE,ENCRYPTION
237,2016,55.83,BRAZIL,SQL INJECTION,EDUCATION,ENCRYPTION
238,2016,17.12,BRAZIL,DDOS,IT,AI-BASED DETECTION
239,2022,67.89,FRANCE,MALWARE,HEALTHCARE,VPN
240,2021,5.54,GERMANY,RANSOMWARE,IT,AI-BASED DETECTION
241,2023,55.28,UK,DDOS,GOVERNMENT,VPN
242,2022,57.52,INDIA,RANSOMWARE,EDUCATION,AI-BASED DETECTION
243,2019,74.65,JAPAN,DDOS,GOVERNMENT,FIREWALL
244,2019,,CHINA,PHISHING,BANKING,FIREWALL
245,2018,36.04,INDIA,DDOS,GOVERNMENT,VPN
246,2015,14.09,INDIA,MALWARE,TELECOMMUNICATIONS,ENCRYPTION
247,2017,66.36,FRANCE,RANSOMWARE,,ENCRYPTION
248,2017,8.53,GERMANY,MALWARE,HEALTHCARE,VPN
249,2015,61.91,BRAZIL,RANSOMWARE,HEALTHCARE,FIREWALL
250,2020,54.47,JAPAN,PHISHING,EDUCATION,ANTIVIRUS
251,2024,87.88,RUSSIA,PHISHING,EDUCATION,ANTIVIRUS
252,2017,89.22,RUSSIA,PHISHING,IT,ANTIVIRUS
253,2022,64.92,CHINA,RANSOMWARE,TELECOMMUNICATIONS,ANTIVIRUS
254,2016,6.59,UK,SQL INJECTION,IT,ANTIVIRUS
255,2018,48.0,JAPAN,RANSOMWARE,RETAIL,AI-BASED DETECTION
256,2015,87.78,FRANCE,SQL INJECTION,IT,FIREWALL
257,2020,15.73,JAPAN,MALWARE,BANKING,
258,2015,30.26,UK,,IT,ENCRYPTION
259,2021,54.59,BRAZIL,SQL INJECTION,HEALTHCARE,AI-BASED DETECTION
260,2015,63.09,RUSSIA,MALWARE,HEALTHCARE,AI-BASED DETECTION
261,2016,59.36,INDIA,PHISHING,RETAIL,AI-BASED DETECTION
262,2020,79.52,JAPAN,RANSOMWARE,IT,VPN
263,2023,87.83,GERMANY,MAN-IN-THE-MIDDLE,TELECOMMUNICATIONS,AI-BASED DETECTION
264,2016,96.63,CHINA,MALWARE,HEALTHCARE,FIREWALL
265,2023,52.86,JAPAN,RANSOMWARE,BANKING,ENCRYPTION
266,2024,4.01,CHINA,PHISHING,EDUCATION,ANTIVIRUS
267,2019,68.02,CHINA,RANSOMWARE,IT,VPN
268,2022,67.17,RUSSIA,PHISHING,RETAIL,ENCRYPTION
269,2021,37.45,JAPAN,PHISHING,HEALTHCARE,VPN
270,2017,36.78,INDIA,PHISHING,RETAIL,FIREWALL
271,2018,40.66,RUSSIA,MALWARE,HEALTHCARE,ENCRYPTION
272,2022,76.93,RUSSIA,RANSOMWARE,RETAIL,AI-BASED DETECTION
273,2020,58.91,AUSTRALIA,RANSOMWARE,HEALTHCARE,ANTIVIRUS
274,2017,93.6,GERMANY,PHISHING,RETAIL,AI-BASED DETECTION
275,2017,47.39,JAPAN,PHISHING,HEALTHCARE,ENCRYPTION
276,2017,3.21,FRANCE,MALWARE,EDUCATION,AI-BASED DETECTION
277,2018,98.75,BRAZIL,PHISHING,BANKING,ANTIVIRUS
278,2019,27.45,INDIA,MAN-IN-THE-MIDDLE,EDUCATION,AI-BASED DETECTION
279,2023,23.98,USA,MALWARE,TELECOMMUNICATIONS,FIREWALL
280,2017,79.93,FRANCE,DDOS,TELECOMMUNICATIONS,ENCRYPTION
281,2023,3.66,RUSSIA,SQL INJECTION,TELECOMMUNICATIONS,AI-BASED DETECTION
282,2016,72.78,BRAZIL,MAN-IN-THE-MIDDLE,RETAIL,AI-BASED DETECTION
283,2017,73.88,UK,SQL INJECTION,BANKING,AI-BASED DETECTION
284,2024,52.8,RUSSIA,RANSOMWARE,BANKING,VPN
285,2018,94.6,INDIA,MAN-IN-THE-MIDDLE,HEALTHCARE,AI-BASED DETECTION
286,2021,1.62,GERMANY,SQL INJECTION,EDUCATION,ANTIVIRUS
287,2020,0.82,RUSSIA,DDOS,HEALTHCARE,ANTIVIRUS
288,2015,90.91,GERMANY,MALWARE,HEALTHCARE,ANTIVIRUS
289,2021,32.84,JAPAN,DDOS,BANKING,ENCRYPTION
290,2017,63.33,RUSSIA,MALWARE,EDUCATION,FIREWALL
291,2022,27.82,RUSSIA,MAN-IN-THE-MIDDLE,HEALTHCARE,AI-BASED DETECTION
292,2016,7.73,CHINA,PHISHING,IT,VPN
293,2019,46.98,INDIA,DDOS,BANKING,AI-BASED DETECTION
294,2024,80.11,,RANSOMWARE,BANKING,FIREWALL
295,2024,11.81,GERMANY,RANSOMWARE,EDUCATION,FIREWALL
296,2016,15.09,GERMANY,RANSOMWARE,EDUCATION,AI-BASED DETECTION
297,2015,20.69,JAPAN,SQL INJECTION,BANKING,AI-BASED DETECTION
298,2019,36.86,INDIA,DDOS,TELECOMMUNICATIONS,VPN
299,2019,10.87,AUSTRALIA,PHISHING,EDUCATION,ANTIVIRUS
300,2017,18.17,CHINA,MALWARE,IT,FIREWALL
301,2018,13.89,BRAZIL,PHISHING,IT,ENCRYPTION
302,2017,15.63,UK,DDOS,GOVERNMENT,ANTIVIRUS
303,2020,32.72,BRAZIL,MAN-IN-THE-MIDDLE,GOVERNMENT,VPN
304,2021,97.03,UK,DDOS,BANKING,FIREWALL
305,2023,75.63,RUSSIA,SQL INJECTION,EDUCATION,ANTIVIRUS
306,2023,64.21,JAPAN,MAN-IN-THE-MIDDLE,HEALTHCARE,VPN
307,2018,99.14,BRAZIL,PHISHING,HEALTHCARE,ANTIVIRUS
308,2016,75.51,BRAZIL,MAN-IN-THE-MIDDLE,IT,AI-BASED DETECTION
309,2015,11.68,UK,DDOS,GOVERNMENT,AI-BASED DETECTION
310,2021,33.84,FRANCE,MALWARE,IT,ANTIVIRUS
311,2022,38.89,INDIA,MALWARE,HEALTHCARE,ANTIVIRUS
312,2018,89.77,FRANCE,PHISHING,BANKING,ANTIVIRUS
313,2017,15.01,GERMANY,DDOS,TELECOMMUNICATIONS,ANTIVIRUS
314,2018,98.38,BRAZIL,SQL INJECTION,IT,ENCRYPTION
315,2015,23.49,RUSSIA,SQL INJECTION,EDUCATION,ANTIVIRUS
316,2017,9.43,BRAZIL,RANSOMWARE,IT,ENCRYPTION
317,2021,97.37,BRAZIL,MAN-IN-THE-MIDDLE,IT,ANTIVIRUS
318,2022,73.26,RUSSIA,PHISHING,TELECOMMUNICATIONS,VPN
319,2020,,GERMANY,PHISHING,RETAIL,VPN
320,2023,3.51,INDIA,RANSOMWARE,TELECOMMUNICATIONS,AI-BASED DETECTION
321,2020,25.32,FRANCE,SQL INJECTION,IT,ANTIVIRUS
322,2015,58.78,GERMANY,PHISHING,BANKING,VPN
323,2016,73.76,BRAZIL,SQL INJECTION,TELECOMMUNICATIONS,ANTIVIRUS
324,2022,27.06,FRANCE,SQL INJECTION,HEALTHCARE,ENCRYPTION
325,2021,77.82,UK,SQL INJECTION,IT,ENCRYPTION
326,2016,55.99,FRANCE,RANSOMWARE,IT,ANTIVIRUS
327,2024,55.73,BRAZIL,DDOS,BANKING,AI-BASED DETECTION
328,2017,7.44,INDIA,MALWARE,TELECOMMUNICATIONS,AI-BASED DETECTION
329,2019,37.07,AUSTRALIA,PHISHING,BANKING,ANTIVIRUS
330,2022,75.67,UK,RANSOMWARE,HEALTHCARE,ANTIVIRUS
331,2024,56.19,INDIA,MALWARE,RETAIL,AI-BASED DETECTION
332,2018,70.53,USA,MALWARE,GOVERNMENT,AI-BASED DETECTION
333,2016,63.77,JAPAN,SQL INJECTION,TELECOMMUNICATIONS,ANTIVIRUS
334,2022,32.73,INDIA,SQL INJECTION,IT,VPN
335,2022,21.87,CHINA,MALWARE,BANKING,ENCRYPTION
336,2024,72.08,JAPAN,MAN-IN-THE-MIDDLE,HEALTHCARE,VPN
337,2023,53.82,UK,SQL INJECTION,TELECOMMUNICATIONS,ENCRYPTION
338,2018,3.3,AUSTRALIA,DDOS,EDUCATION,ANTIVIRUS
339,2021,13.99,AUSTRALIA,MALWARE,,AI-BASED DETECTION
340,2024,93.49,GERMANY,MALWARE,GOVERNMENT,ANTIVIRUS
341,2016,97.28,CHINA,MAN-IN-THE-MIDDLE,BANKING,ENCRYPTION
342,2015,17.19,JAPAN,MALWARE,EDUCATION,FIREWALL
343,2023,54.21,INDIA,MALWARE,IT,VPN
344,2021,64.28,UK,MALWARE,GOVERNMENT,VPN
345,2023,71.31,USA,RANSOMWARE,EDUCATION,AI-BASED DETECTION
346,2017,52.31,UK,PHISHING,BANKING,ANTIVIRUS
347,2021,40.94,INDIA,MAN-IN-THE-MIDDLE,RETAIL,FIREWALL
348,2024,32.21,BRAZIL,RANSOMWARE,GOVERNMENT,FIREWALL
349,2017,20.44,FRANCE,DDOS,IT,VPN
350,2016,59.66,RUSSIA,RANSOMWARE,GOVERNMENT,AI-BASED DETECTION
351,2019,56.33,BRAZIL,SQL INJECTION,EDUCATION,ENCRYPTION
352,2016,2.24,FRANCE,SQL INJECTION,GOVERNMENT,VPN
353,2018,82.05,BRAZIL,DDOS,TELECOMMUNICATIONS,FIREWALL
354,2024,11.92,CHINA,DDOS,HEALTHCARE,FIREWALL
